Fecha,Reservas_USD
01/04/2025,25.45
03/04/2025,25.305
04/04/2025,25.148
07/04/2025,24.838
08/04/2025,24.677
09/04/2025,24.78
10/04/2025,24.773
11/04/2025,24.704
14/04/2025,24.221
15/04/2025,36.777
16/04/2025,38.616
21/04/2025,38.791
22/04/2025,38.814
23/04/2025,38.631
24/04/2025,39.079
25/04/2025,39.168
28/04/2025,39.291
29/04/2025,39.091
30/04/2025,38.928
05/05/2025,38.976
06/05/2025,38.542
07/05/2025,38.258
08/05/2025,38.035
09/05/2025,38.123
12/05/2025,38.079
13/05/2025,38.651
14/05/2025,38.565
15/05/2025,38.346
16/05/2025,38.338
19/05/2025,38.3
20/05/2025,38.267
21/05/2025,38.176
22/05/2025,38.097
23/05/2025,38.428
26/05/2025,38.384
27/05/2025,38.381
28/05/2025,38.444
29/05/2025,38.366
30/05/2025,36.919
02/06/2025,37.793
03/06/2025,37.767
04/06/2025,38.818
05/06/2025,38.758
06/06/2025,38.639
09/06/2025,38.604
10/06/2025,38.6
11/06/2025,38.533
12/06/2025,38.506
13/06/2025,40.465
17/06/2025,40.399
18/06/2025,40.153
19/06/2025,40.182
23/06/2025,40.894
24/06/2025,41.212
25/06/2025,41.417
26/06/2025,41.555
27/06/2025,41.46
30/06/2025,39.973
01/07/2025,41.686
02/07/2025,41.658
03/07/2025,41.738
04/07/2025,41.747
